index,n,x,tipo,data,dia,mes,ano,hora,y,z,vel1,vel2,k,s,cod,placa,r,t,y,u,i
1,501,1,2019-02-01 00:00:07,2019-02-01,01,02,2019,00:00:07,00,00,80.0,68.0,2,3.8,bdac468f1,LRV5999,0,0,NULL,NULL,NULL
2,502,2,2019-02-01 00:00:09,2019-02-01,01,02,2019,00:00:09,00,00,80.0,57.0,2,3.8,bdac469a2,LRW4982,0,0,NULL,NULL,NULL
3,502,2,2019-02-01 00:00:17,2019-02-01,01,02,2019,00:00:17,00,00,80.0,61.0,2,3.6,bdac46ee2,LQM9654,0,0,NULL,NULL,NULL
4,501,1,2019-02-01 00:00:20,2019-02-01,01,02,2019,00:00:20,00,00,80.0,73.0,2,3.8,bdac470d1,LMR8029,0,0,NULL,NULL,NULL
5,501,1,2019-02-01 00:00:29,2019-02-01,01,02,2019,00:00:29,00,00,80.0,56.0,3,6.4,bdac476a1,,0,0,NULL,NULL,NULL
6,502,2,2019-02-01 00:00:31,2019-02-01,01,02,2019,00:00:31,00,00,80.0,64.0,2,3.6,bdac477b2,KVR6307,0,0,NULL,NULL,NULL
7,501,1,2019-02-01 00:00:32,2019-02-01,01,02,2019,00:00:32,00,00,80.0,65.0,2,4.3,bdac47821,KWD6677,0,0,NULL,NULL,NULL
8,502,2,2019-02-01 00:00:33,2019-02-01,01,02,2019,00:00:33,00,00,80.0,59.0,2,4.4,bdac478d2,LSS7822,0,0,NULL,NULL,NULL
9,502,2,2019-02-01 00:00:36,2019-02-01,01,02,2019,00:00:36,00,00,80.0,53.0,2,3.6,bdac47ad2,KXD9560,0,0,NULL,NULL,NULL
10,502,2,2019-02-01 00:00:39,2019-02-01,01,02,2019,00:00:39,00,00,80.0,63.0,2,3.6,bdac47ca2,LHP6105,0,0,NULL,NULL,NULL
11,501,1,2019-02-01 00:00:42,2019-02-01,01,02,2019,00:00:42,00,00,80.0,72.0,2,3.9,bdac47e41,QOD4152,0,0,NULL,NULL,NULL
12,501,1,2019-02-01 00:00:52,2019-02-01,01,02,2019,00:00:52,00,00,80.0,65.0,2,3.5,bdac484b1,,0,0,NULL,NULL,NULL
13,501,1,2019-02-01 00:00:55,2019-02-01,01,02,2019,00:00:55,00,00,80.0,65.0,2,4.0,bdac486c1,LSD7212,0,0,NULL,NULL,NULL
14,502,2,2019-02-01 00:00:59,2019-02-01,01,02,2019,00:00:59,00,00,80.0,70.0,2,3.7,bdac48932,LTK2036,0,0,NULL,NULL,NULL
15,191,1,2019-02-01 00:00:04,2019-02-01,01,02,2019,00:00:04,00,00,90.0,77.0,1,1.1,bdac466a1,,0,0,NULL,NULL,NULL
