CODCET;DATAHORA;PLACA;VELOCIDADE;GCT;LATITUDE;LONGITUDE
0420061113;20190601 03:27:09;       ;18;042;-23.000409;-43.334161
0420171211;20190601 01:16:43;       ;51;042;   .    00;   .    00
0420071124;20190601 01:12:01;       ;50;042;-23.001615;-43.328645
0420061114;20190601 03:30:47;       ;21;042;-23.000409;-43.334161
0420111113;20190601 03:28:09;       ;14;042;-22.963859;-43.394382
0420071124;20190601 03:27:32;       ;14;042;-23.001615;-43.328645
0420081124;20190601 03:14:27;       ;47;042;-23.003226;-43.324684
0420081122;20190601 01:17:05;       ;47;042;-23.003226;-43.324684
0420071113;20190601 03:33:06;       ;58;042; -2.300141;-43.328091
0420081123;20190601 03:25:24;       ;44;042;-23.003226;-43.324684
0420131122;20190601 03:31:52;AUN6009;82;042;-22.973217;-43.387464
0420081122;20190601 03:32:47;       ;43;042;-23.003226;-43.324684
0420071114;20190601 01:12:15;       ;57;042; -2.300141;-43.328091
0420071114;20190601 01:15:54;       ;55;042; -2.300141;-43.328091
0420081111;20190601 03:18:00;       ;9;042; -2.300303; -4.332414
0420081112;20190601 01:17:23;       ;55;042; -2.300303; -4.332414
0420141123;20190601 03:15:20;       ;36;042;-22.981046;-43.409698
0420021123;20190601 01:11:56;       ;33;042;-23.000226;-43.353781
0420081112;20190601 06:19:24;       ;23;042; -2.300303; -4.332414
0420081111;20190601 06:19:27;       ;9;042; -2.300303; -4.332414
0420021123;20190601 03:26:22;       ;39;042;-23.000226;-43.353781
0420141122;20190601 03:33:29;       ;43;042;-22.981046;-43.409698
0420101211;20190601 01:13:20;       ;12;042;-23.003679;-43.322327
0420141123;20190601 06:20:47;       ;17;042;-22.981046;-43.409698
0420181113;20190601 03:18:42;       ;50;042;-22.973304; -4.339867
0420041222;20190601 05:13:46;       ;10;042;-23.000544;-43.339262
0420181122;20190601 05:14:04;       ;36;042;-22.973215;-43.397949
0420041123;20190601 03:29:30;       ;70;042;-23.000132; -4.333874
0420071113;20190601 03:34:52;BXC4378;71;042; -2.300141;-43.328091
0420071113;20190601 03:39:12;       ;69;042; -2.300141;-43.328091
0420041212;20190601 06:19:46;       ;9;042;-23.000029;-43.339268
0420041212;20190601 03:37:08;       ;69;042;-23.000029;-43.339268
0420071114;20190601 03:31:32;       ;70;042; -2.300141;-43.328091
0420041213;20190601 06:20:21;       ;60;042;-23.000029;-43.339268
0420041213;20190601 03:38:47;       ;49;042;-23.000029;-43.339268
0420131123;20190601 03:41:49;       ;10;042;-22.973217;-43.387464
0420091111;20190601 03:15:48;       ;44;042;-23.003622; -4.332462
0420121221;20190601 03:23:15;       ;52;042;-22.966068;-43.396717
0420161222;20190601 03:29:51;       ;49;042;   .    00;   .    00
0420071223;20190601 03:22:07;       ;13;042;-23.001678;-43.328644
0420101222;20190601 03:23:59;       ;46;042;-23.004116;-43.322634
0420111123;20190601 06:21:34;       ;57;042;-22.963742;-43.394364
0420121221;20190601 05:13:41;       ;77;042;-22.966068;-43.396717
0420161221;20190601 03:19:05;       ;32;042;   .    00;   .    00
0420071222;20190601 03:43:13;       ;62;042;-23.001678;-43.328644
0420071222;20190601 03:48:05;       ;60;042;-23.001678;-43.328644
0420171123;20190601 03:40:29;       ;52;042;   .    00;   .    00
0420121112;20190601 01:13:33;       ;63;042;-22.967687;-43.397829
0420061212;20190601 03:29:20;       ;30;042;-23.000304;-43.334543
0420061212;20190601 06:20:24;       ;36;042;-23.000304;-43.334543
0420061212;20190601 03:36:40;       ;28;042;-23.000304;-43.334543
0420061112;20190601 01:15:00;       ;2;042;-23.000409;-43.334161
0420061114;20190601 01:15:10;       ;27;042;-23.000409;-43.334161
0420071123;20190601 01:12:08;QNL6878;51;042;-23.001615;-43.328645
0420111112;20190601 01:14:48;       ;24;042;-22.963859;-43.394382
0420061113;20190601 03:25:20;       ;19;042;-23.000409;-43.334161
0420111112;20190601 03:16:43;       ;73;042;-22.963859;-43.394382
0420061223;20190601 03:20:48;       ;46;042;-23.000813;-43.334781
0420061223;20190601 03:23:25;       ;8;042;-23.000813;-43.334781
0420081124;20190601 01:13:34;       ;49;042;-23.003226;-43.324684
0420081124;20190601 01:13:42;       ;44;042;-23.003226;-43.324684
0420081123;20190601 01:15:37;       ;62;042;-23.003226;-43.324684
0420081122;20190601 01:17:07;       ;43;042;-23.003226;-43.324684
0420131123;20190601 03:16:58;       ;52;042;-22.973217;-43.387464
0420081124;20190601 03:19:55;       ;40;042;-23.003226;-43.324684
0420081124;20190601 03:21:35;NFV5135;13;042;-23.003226;-43.324684
0420131122;20190601 03:30:18;       ;52;042;-22.973217;-43.387464
