CODCET;DATAHORA;PLACA;VELOCIDADE;GCT;LATITUDE;LONGITUDE
0440021120;20190301 00:10:31;-------;9;044;-22.87280;-43.33629
0440021120;20190301 00:10:44;-------;24;044;-22.87280;-43.33629
0440021120;20190301 00:10:44;-------;19;044;-22.87280;-43.33629
0440021120;20190301 00:10:46;-------;28;044;-22.87280;-43.33629
0440021120;20190301 00:10:48;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:10:50;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:10:58;-------;34;044;-22.87280;-43.33629
0440021120;20190301 00:11:07;-------;32;044;-22.87280;-43.33629
0440021120;20190301 00:11:08;-------;33;044;-22.87280;-43.33629
0440021120;20190301 00:11:11;-------;34;044;-22.87280;-43.33629
0440021120;20190301 00:11:18;LSV3718;32;044;-22.87280;-43.33629
0440021120;20190301 00:11:22;-------;35;044;-22.87280;-43.33629
0440021120;20190301 00:11:26;-------;37;044;-22.87280;-43.33629
0440021120;20190301 00:11:52;LRW4431;20;044;-22.87280;-43.33629
0440021120;20190301 00:11:54;-------;23;044;-22.87280;-43.33629
0440021120;20190301 00:11:58;-------;15;044;-22.87280;-43.33629
0440021120;20190301 00:12:06;-------;36;044;-22.87280;-43.33629
0440021120;20190301 00:12:36;-------;38;044;-22.87280;-43.33629
0440021120;20190301 00:13:10;-------;29;044;-22.87280;-43.33629
0440021120;20190301 00:13:16;-------;15;044;-22.87280;-43.33629
0440021120;20190301 00:13:23;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:13:23;-------;27;044;-22.87280;-43.33629
0440021120;20190301 00:13:26;-------;37;044;-22.87280;-43.33629
0440021120;20190301 00:13:42;KWX6029;29;044;-22.87280;-43.33629
0440021120;20190301 00:13:48;-------;19;044;-22.87280;-43.33629
0440021120;20190301 00:13:54;-------;27;044;-22.87280;-43.33629
0440021120;20190301 00:14:29;-------;19;044;-22.87280;-43.33629
0440021120;20190301 00:14:31;-------;20;044;-22.87280;-43.33629
0440021120;20190301 00:14:34;-------;14;044;-22.87280;-43.33629
0440021120;20190301 00:14:59;-------;32;044;-22.87280;-43.33629
0440021120;20190301 00:15:05;-------;34;044;-22.87280;-43.33629
0440021120;20190301 00:15:05;KQW9936;39;044;-22.87280;-43.33629
0440021120;20190301 00:15:14;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:15:33;-------;28;044;-22.87280;-43.33629
0440021120;20190301 00:15:40;-------;12;044;-22.87280;-43.33629
0440021120;20190301 00:15:46;KXF5239;13;044;-22.87280;-43.33629
0440021120;20190301 00:15:50;-------;17;044;-22.87280;-43.33629
0440021120;20190301 00:15:52;-------;7;044;-22.87280;-43.33629
0440021120;20190301 00:15:57;-------;11;044;-22.87280;-43.33629
0440021120;20190301 00:16:03;-------;28;044;-22.87280;-43.33629
0440021120;20190301 00:16:18;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:16:25;-------;31;044;-22.87280;-43.33629
0440021120;20190301 00:16:28;-------;30;044;-22.87280;-43.33629
0440021120;20190301 00:16:33;LDB9221;35;044;-22.87280;-43.33629
0440021120;20190301 00:16:36;-------;36;044;-22.87280;-43.33629
0440021120;20190301 00:16:52;-------;15;044;-22.87280;-43.33629
0440021120;20190301 00:16:52;-------;14;044;-22.87280;-43.33629
0440021120;20190301 00:16:55;-------;20;044;-22.87280;-43.33629
