CODCET;DATAHORA;PLACA;VELOCIDADE;GCT;LATITUDE;LONGITUDE
0450381112;20190101 00:00:01;       ;59;045;-22.98468;-43.21814
0045054111;20190101 00:00:03;       ;55;004;-22.95759;-43.19957
0450441112;20190101 00:00:05;       ;58;045;-22.98537;-43.20337
0450681111;20190101 00:00:22;       ;39;045;-22.98475;-43.20046
0450451112;20190101 00:00:22;       ;58;045;-22.98481;-43.20567
0450251112;20190101 00:00:23;       ;43;045;-22.95417;-43.1917 
0450391112;20190101 00:00:27;       ;42;045;-22.98459;-43.22075
0450591112;20190101 00:00:28;       ;31;045;-22.98431;-43.22281
0450401112;20190101 00:00:30;       ;69;045;-22.98545;-43.22315
0450311112;20190101 00:00:34;       ;32;045;-22.94885;-43.18549
0450471112;20190101 00:00:36;       ;55;045;-22.98547;-43.22387
0450311112;20190101 00:00:37;       ;33;045;-22.94885;-43.18549
0450231112;20190101 00:00:40;       ;35;045;-22.95185;-43.18586
0450561212;20190101 00:00:47;       ;53;045;-22.90751;-43.17307
0450391112;20190101 00:00:48;       ;49;045;-22.98459;-43.22075
0450301112;20190101 00:00:48;       ;55;045;-22.95123;-43.1947 
0450371113;20190101 00:00:51;       ;55;045;-22.98537;-43.20134
0450081113;20190101 00:00:52;       ;85;045;-22.97779;-43.19067
0450641113;20190101 00:00:57;       ;27;045;-22.98358;-43.21857
0450251113;20190101 00:01:22;       ;42;045;-22.95417;-43.1917 
0450091113;20190101 00:01:27;       ;30;045;-22.98001;-43.19114
0450131112;20190101 00:01:33;       ;6;045;-22.96549;-43.1812 
0450231112;20190101 00:01:34;       ;51;045;-22.95185;-43.18586
0450301112;20190101 00:01:47;       ;56;045;-22.95123;-43.1947 
0450431112;20190101 00:01:49;       ;39;045;-22.96463;-43.17531
0450521122;20190101 00:01:54;       ;56;045;-22.91264;-43.20387
0450281112;20190101 00:01:55;       ;32;045;-22.94896;-43.18661
0450631112;20190101 00:01:59;       ;43;045;-22.98367;-43.21749
0450631112;20190101 00:02:08;       ;48;045;-22.98367;-43.21749
0450651112;20190101 00:02:10;       ;35;045;-22.98399;-43.20807
0450381112;20190101 00:02:14;       ;44;045;-22.98468;-43.21814
0450031113;20190101 00:02:20;       ;16;045;-22.96808;-43.18321
0450101113;20190101 00:02:23;       ;5;045;-22.98222;-43.19112
0450311112;20190101 00:02:26;       ;48;045;-22.94885;-43.18549
0450391112;20190101 00:02:33;       ;50;045;-22.98459;-43.22075
0450411112;20190101 00:02:34;       ;18;045;-22.94583;-43.1825 
0450681111;20190101 00:02:34;       ;36;045;-22.98475;-43.20046
0450151113;20190101 00:02:36;       ;11;045;-22.96303;-43.17738
0450151113;20190101 00:02:37;       ;14;045;-22.96303;-43.17738
0450021113;20190101 00:02:41;       ;20;045;-22.96601;-43.17862
0450261112;20190101 00:02:44;       ;43;045;-22.95511;-43.19384
0450561212;20190101 00:02:44;       ;51;045;-22.90751;-43.17307
0450571111;20190101 00:02:49;       ;58;045;-22.90217;-43.17574
0450371112;20190101 00:02:50;       ;34;045;-22.98537;-43.20134
0450281112;20190101 00:02:55;       ;39;045;-22.94896;-43.18661
0450061112;20190101 00:02:55;       ;47;045;-22.97344;-43.18859
0450121113;20190101 00:03:15;       ;16;045;-22.96436;-43.18074
0450291111;20190101 00:03:22;       ;53;045;-22.94931;-43.18919
0450051112;20190101 00:03:27;       ;47;045;-22.97059;-43.18647
0450521122;20190101 00:03:30;       ;38;045;-22.91264;-43.20387
0450641111;20190101 00:03:36;       ;53;045;-22.98358;-43.21857
0450331113;20190101 00:03:46;       ;28;045;-22.94752;-43.18251
0450311113;20190101 00:04:05;       ;40;045;-22.94885;-43.18549
0450231111;20190101 00:04:11;       ;34;045;-22.95185;-43.18586
