CODCET;DATAHORA;PLACA;VELOCIDADE;CGT;LATITUDE;LONGITUDE
0480091110;2019-01-01 00:00:02;BRI712;15;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:04;BRI712;17;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:07;BRI712;14;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:22;BRI712;29;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:44;BRI712;43;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:48;BRI712;43;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:52;BRI712;39;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:54;BRI712;42;048;-22,96635;-43,21941
0480091110;2019-01-01 00:00:59;BRI712;47;048;-22,96635;-43,21941
0480091110;2019-01-01 00:01:01;BRI712;48;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:03;BRI712;15;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:09;BRI712;51;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:11;BRI712;51;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:15;BRI712;43;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:41;BRI712;46;048;-22,96635;-43,21941
0480091110;2019-01-01 00:02:50;BRI712;38;048;-22,96635;-43,21941
0480091110;2019-01-01 00:03:40;BRI712;26;048;-22,96635;-43,21941
0480091110;2019-01-01 00:04:03;BRI712;19;048;-22,96635;-43,21941
0480091110;2019-01-01 00:04:26;BRI712;42;048;-22,96635;-43,21941
0480091110;2019-01-01 00:04:30;BRI712;42;048;-22,96635;-43,21941
0480091110;2019-01-01 00:05:01;BRI712;22;048;-22,96635;-43,21941
0480091110;2019-01-01 00:06:03;BRI712;16;048;-22,96635;-43,21941
0480091110;2019-01-01 00:06:05;BRI712;13;048;-22,96635;-43,21941
0480091110;2019-01-01 00:06:14;BRI712;58;048;-22,96635;-43,21941
0480091110;2019-01-01 00:06:16;BRI712;64;048;-22,96635;-43,21941
0480091110;2019-01-01 00:06:19;BRI712;47;048;-22,96635;-43,21941
