CODCET;DATAHORA;PLACA;VELOCIDADE;CGT;LATITUDE;LONGITUDE
0400141110;2019-03-01 10:26:30;BRI1784;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:26:31;BRI1784;41;040;-22,90393;-43,27340
0400141110;2019-03-01 10:26:34;BRI1784;49;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:09;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:10;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:10;BRI1784;44;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:11;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:12;BRI1784;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:14;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:14;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:18;BRI1784;43;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:34;BRI1784;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:40;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:48;BRI1784;28;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:53;BRI1784;38;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:53;BRI1784;56;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:55;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:01;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:08;BRI1784;32;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:08;BRI1784;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:10;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:11;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:14;BRI1784;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:20;BRI1784;43;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:21;BRI1784;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:22;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:28;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:47;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:49;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:55;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:57;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:02;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:06;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:07;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:08;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:08;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:14;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:18;BRI1784;67;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:19;BRI1784;67;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:19;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:23;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:26;BRI1784;52;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:30;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:31;BRI1784;49;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:35;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:37;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:40;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:42;BRI1784;44;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:56;BRI1784;43;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:02;BRI1784;49;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:11;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:14;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:15;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:16;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:18;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:19;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:21;BRI1784;38;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:23;BRI1784;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:25;BRI1784;38;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:29;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:31;BRI1784;44;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:37;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:41;BRI1784;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:52:47;BRI1784;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:06;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:16;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:16;BRI1784;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:23;BRI1784;55;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:25;BRI1784;52;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:29;BRI1784;44;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:31;BRI1784;67;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:32;BRI1784;41;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:34;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:34;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:35;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:36;BRI1784;39;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:38;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:39;BRI1784;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:41;BRI1784;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:48;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:51;BRI1784;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:55;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:55;BRI1784;34;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:56;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:57;BRI1784;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:59;BRI1784;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:53:59;BRI1784;59;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:00;BRI1784;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:02;BRI1784;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:05;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:07;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:07;BRI1784;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:08;BRI1784;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:18;BRI1784;62;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:23;BRI1784;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:26;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:28;BRI1784;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:30;BRI1784;51;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:37;BRI1784;40;040;-22,90393;-43,27340
0400141110;2019-03-01 10:54:37;BRI1784;40;040;-22,90393;-43,27340
