DATAHORA;PLACA;VELOCIDADE
2019-02-01 00:00:07;LRV5999;68.0
2019-02-01 00:00:09;LRW4982;57.0
2019-02-01 00:00:17;LQM9654;61.0
2019-02-01 00:00:20;LMR8029;73.0
2019-02-01 00:00:29;;56.0
2019-02-01 00:00:31;KVR6307;64.0
2019-02-01 00:00:32;KWD6677;65.0
2019-02-01 00:00:33;LSS7822;59.0
2019-02-01 00:00:36;KXD9560;53.0
2019-02-01 00:00:39;LHP6105;63.0
2019-02-01 00:00:42;QOD4152;72.0
2019-02-01 00:00:52;;65.0
2019-02-01 00:00:55;LSD7212;65.0
2019-02-01 00:00:59;LTK2036;70.0
2019-02-01 00:00:04;;77.0
2019-02-01 00:00:04;;0.0
2019-02-01 00:00:06;HMZ4138;79.0
2019-02-01 00:00:08;;90.0
2019-02-01 00:00:18;LUK1810;69.0
2019-02-01 00:00:19;KOW3352;75.0
2019-02-01 00:00:23;KYS3282;76.0
2019-02-01 00:00:34;;91.0
2019-02-01 00:00:36;KRB9029;0.0
2019-02-01 00:00:43;KXY9350;77.0
2019-02-01 00:00:52;LRC7548;79.0
2019-02-01 00:00:56;KPE6624;74.0
2019-02-01 00:00:25;;44.0
2019-02-01 00:00:09;KXF2136;41.0
2019-02-01 00:00:12;;44.0
2019-02-01 00:00:50;HOI7991;48.0
2019-02-01 00:00:51;IYI0401;41.0
2019-02-01 00:00:30;LPA9711;56.0
2019-02-01 00:00:40;ERX6512;50.0
2019-02-01 00:00:41;;44.0
2019-02-01 00:00:47;LLO5171;39.0
2019-02-01 00:00:13;LSA9209;43.0
2019-02-01 00:00:28;;17.0
2019-02-01 00:00:30;KPK4377;46.0
2019-02-01 00:00:40;LQZ8815;55.0
2019-02-01 00:00:53;LPO7555;52.0
2019-02-01 00:00:04;;53.0
2019-02-01 00:00:09;;58.0
2019-02-01 00:00:17;;59.0
2019-02-01 00:00:19;;57.0
2019-02-01 00:00:23;LRW5093;61.0
2019-02-01 00:00:25;;58.0
2019-02-01 00:00:33;KRA9123;47.0
2019-02-01 00:00:33;LMN2740;0.0
2019-02-01 00:00:38;;63.0
2019-02-01 00:00:42;;59.0
2019-02-01 00:00:48;NPG7186;48.0
2019-02-01 00:00:53;;62.0
2019-02-01 00:00:04;;77.0
2019-02-01 00:00:08;QPD2989;0.0
2019-02-01 00:00:09;KOW9576;60.0
2019-02-01 00:00:13;;75.0
2019-02-01 00:00:21;KXH4332;81.0
2019-02-01 00:00:25;LMS3305;83.0
2019-02-01 00:00:30;;72.0
2019-02-01 00:00:32;LOI7402;78.0
2019-02-01 00:00:40;DPJ7327;74.0
2019-02-01 00:00:41;KWI1377;0.0
2019-02-01 00:00:42;;80.0
2019-02-01 00:00:42;LSW9012;0.0
2019-02-01 00:00:43;IRM8257;55.0
2019-02-01 00:00:43;KXY9644;76.0
2019-02-01 00:00:44;KYR6167;60.0
2019-02-01 00:00:45;;0.0
2019-02-01 00:00:53;LMI7915;79.0
2019-02-01 00:00:54;LUN5886;73.0
2019-02-01 00:00:57;IHH3772;76.0
2019-02-01 00:00:05;;35.0
2019-02-01 00:00:13;;39.0
2019-02-01 00:00:17;WUN4367;57.0
2019-02-01 00:00:30;LLN7021;33.0
2019-02-01 00:00:55;;0.0
2019-02-01 00:00:58;LOV9241;45.0
2019-02-01 00:00:09;;32.0
2019-02-01 00:00:32;;43.0
2019-02-01 00:00:09;KWS3101;0.0
2019-02-01 00:00:26;IIU1311;43.0
2019-02-01 00:00:46;LMF7135;33.0
2019-02-01 00:00:12;ODJ3903;50.0
2019-02-01 00:00:16;;40.0
2019-02-01 00:00:19;;36.0
2019-02-01 00:00:20;;38.0
2019-02-01 00:00:21;;36.0
2019-02-01 00:00:21;KWI1111;35.0
2019-02-01 00:00:28;;45.0
2019-02-01 00:00:29;LOS4033;54.0
2019-02-01 00:00:32;IIX7111;45.0
2019-02-01 00:00:37;MQI4537;48.0
2019-02-01 00:00:43;;45.0
2019-02-01 00:00:44;;49.0
2019-02-01 00:00:50;;51.0
2019-02-01 00:00:13;;59.0
2019-02-01 00:00:24;;63.0
2019-02-01 00:00:29;VVM7117;64.0
2019-02-01 00:00:38;KXM1243;72.0
2019-02-01 00:00:44;;77.0
