CODCET;DATAHORA;PLACA;VELOCIDADE;CGT;LATITUDE;LONGITUDE
0400141110;2019-03-01 10:26:30;;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:26:31;;41;040;-22,90393;-43,27340
0400141110;2019-03-01 10:26:34;;49;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:09;LQS5658;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:10;FLT2044;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:10;CXW7258;44;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:11;;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:12;LAH9624;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:14;LLV1475;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:14;;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:18;LLT7894;43;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:34;;53;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:40;;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:48;;28;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:53;LKO6461;38;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:53;;56;040;-22,90393;-43,27340
0400141110;2019-03-01 10:49:55;CAJ8184;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:01;KRP7308;48;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:08;;32;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:08;LMI5171;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:10;LOR5399;46;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:11;;50;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:14;;45;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:20;KRI9821;43;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:21;;42;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:22;PAT0023;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:28;;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:47;;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:49;;47;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:55;;54;040;-22,90393;-43,27340
0400141110;2019-03-01 10:50:57;CZL7512;37;040;-22,90393;-43,27340
0400141110;2019-03-01 10:51:02;;47;040;-22,90393;-43,27340
