CODCET;DATAHORA;PLACA;VELOCIDADE;GCT;LATITUDE;LONGITUDE
0410191112;20190101 00:00:00;KPV6877;39;041;-22.93380;-43.18294
0410121122;20190101 00:00:01;LQR8247;34;041;-22.97019;-43.41377
0410241111;20190101 00:00:01;ETP1890;40;041;-22.93149;-43.20888
0410161111;20190101 00:00:01;KXL9916;25;041;-22.92479;-43.38907
0410381122;20190101 00:00:01;LPU2287;44;041;-23.01267;-43.38900
0410551112;20190101 00:00:02;LKU5609;39;041;-23.00850;-43.43940
0410161121;20190101 00:00:02;KXL9916;28;041;-22.92479;-43.38907
0410021111;20190101 00:00:02;       ;23;041;-22.79752;-43.19290
0410451121;20190101 00:00:02;       ;35;041;-22.98010;-43.23462
0410381111;20190101 00:00:03;KPH4077;38;041;-23.01267;-43.38900
0410501111;20190101 00:00:03;LTD6341;41;041;-22.98147;-43.58786
0410381121;20190101 00:00:03;       ;46;041;-23.01267;-43.38900
0410381111;20190101 00:00:04;PVB3195;37;041;-23.01267;-43.38900
0410421121;20190101 00:00:04;LPS7240;41;041;-22.99197;-43.59319
0410031111;20190101 00:00:05;KXE7538;39;041;-22.99181;-43.30229
0410381121;20190101 00:00:06;       ;41;041;-23.01267;-43.38900
0410491111;20190101 00:00:06;LPE6686;46;041;-22.97950;-43.58871
0410191111;20190101 00:00:06;KRU3165;33;041;-22.93380;-43.18294
0410281111;20190101 00:00:06;NXN2730;42;041;-22.90235;-43.53972
0410041112;20190101 00:00:06;KQV9383;39;041;-22.99365;-43.30290
0410381111;20190101 00:00:07;       ;40;041;-23.01267;-43.38900
0410552122;20190101 00:00:07;KXU9339;30;041;-23.00726;-43.43819
0410041111;20190101 00:00:07;KXI3663;36;041;-22.99365;-43.30290
0410552121;20190101 00:00:08;FNX4544;31;041;-23.00726;-43.43819
0410451111;20190101 00:00:08;LLX7297;25;041;-22.98010;-43.23462
0410221111;20190101 00:00:08;KVX4626;33;041;-22.91971;-43.68335
0410081121;20190101 00:00:08;LLP7649;30;041;-22.94389;-43.38667
0410371121;20190101 00:00:08;       ;9;041;-23.01153;-43.37594
0410461111;20190101 00:00:09;LQQ1155;46;041;-22.99473;-43.25330
0410552121;20190101 00:00:10;KRR1791;31;041;-23.00726;-43.43819
0410101111;20190101 00:00:11;       ;41;041;-22.94346;-43.37263
0410101112;20190101 00:00:11;KRL3368;40;041;-22.94346;-43.37263
0410552121;20190101 00:00:12;KXG3621;30;041;-23.00726;-43.43819
0410551111;20190101 00:00:12;LRV3020;43;041;-23.00850;-43.43940
0410041112;20190101 00:00:12;LQA4260;32;041;-22.99365;-43.30290
0410141111;20190101 00:00:13;LPQ9248;39;041;-22.93863;-43.36867
0410021112;20190101 00:00:14;       ;35;041;-22.79752;-43.19290
0410121122;20190101 00:00:14;LQR8247;34;041;-22.97019;-43.41377
0410552121;20190101 00:00:14;PWX8825;32;041;-23.00726;-43.43819
0410241112;20190101 00:00:15;KRX9371;44;041;-22.93149;-43.20888
0410421121;20190101 00:00:16;LBG6193;31;041;-22.99197;-43.59319
0410451121;20190101 00:00:17;       ;39;041;-22.98010;-43.23462
0410351111;20190101 00:00:17;KXK4498;29;041;-23.01567;-43.41202
0410191112;20190101 00:00:18;KWS4798;37;041;-22.93380;-43.18294
0410491111;20190101 00:00:18;KWQ3930;36;041;-22.97950;-43.58871
0410552121;20190101 00:00:18;LTG3261;28;041;-23.00726;-43.43819
0410401111;20190101 00:00:19;KRI2664;49;041;-23.01485;-43.40644
0410301121;20190101 00:00:19;JXS7537;37;041;-22.91483;-43.54121
0410151112;20190101 00:00:20;KXA5178;33;041;-22.94040;-43.36801
0410551112;20190101 00:00:20;KDE9693;39;041;-23.00850;-43.43940
0410441111;20190101 00:00:20;KNH0428;39;041;-22.88462;-43.57968
0410281121;20190101 00:00:20;       ;24;041;-22.90235;-43.53972
0410311111;20190101 00:00:20;       ;29;041;-22.88907;-43.56765
